127.0.0.1 - - [13/May/2020:21:20:21 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/images/2_snow.jpg HTTP/1.1" 200 598884
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/images/1_beach.jpg HTTP/1.1" 200 389345
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/images/3_seaside.jpg HTTP/1.1" 200 652240
0:0:0:0:0:0:0:1 - - [13/May/2020:21:20:22 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:02 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:02 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:02 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:06 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/images/1_beach.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/images/2_snow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/images/3_seaside.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:07 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:10 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:10 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:13 +0900] "GET /BBS/view.jsp?bbsID=19 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:13 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:13 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:13 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:16 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:16 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:16 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:17 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:17 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:19 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:19 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:24 +0900] "GET /BBS/view.jsp?bbsID=8 HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:24 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:24 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:24 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:27 +0900] "GET /BBS/deleteAction.jsp?bbsID=8 HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:27 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:27 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:30 +0900] "GET /BBS/view.jsp?bbsID=6 HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:30 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:35 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:35 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:47 +0900] "GET /BBS/view.jsp?bbsID=10 HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:47 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:47 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:21:23:47 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
